bid_id,project_id,freelancer_id,bid_amount,bid_date,bid_status
1,2183,85,245.75,2025-11-19,Rejected
2,4400,1418,176.93,2025-09-19,Rejected
3,2783,1161,743.87,2024-09-22,Rejected
4,1630,2014,2563.85,2025-04-21,Rejected
5,1277,459,1491.37,2025-03-15,Rejected
6,1485,478,1473.98,2025-05-25,Accepted
7,4394,30,2280.92,2024-07-09,Pending
8,5508,1767,87.94,2025-07-01,Pending
9,4383,1738,106.21,2025-07-13,Accepted
10,4633,2920,454.72,2024-12-10,Pending
11,3920,630,669.30,2025-03-03,Accepted
12,1555,702,343.99,2024-10-07,Pending
13,3350,539,276.23,2025-04-11,Accepted
14,4817,390,2435.01,2025-06-02,Pending
15,695,1775,756.30,2026-03-08,Pending
16,5715,1899,2386.56,2025-07-22,Rejected
17,3065,2816,1440.49,2024-06-20,Accepted
18,3585,2175,1954.87,2025-09-03,Accepted
19,5645,596,186.85,2025-05-14,Accepted
20,4777,2192,694.04,2025-06-25,Accepted
21,920,1811,1953.14,2025-02-03,Accepted
22,2473,2047,1369.73,2024-08-21,Rejected
23,921,48,1862.19,2025-01-06,Accepted
24,626,2365,1379.80,2025-12-18,Pending
25,4911,2666,1309.27,2025-06-28,Rejected
26,4374,1310,673.56,2025-09-28,Rejected
27,4281,2528,859.09,2026-02-04,Accepted
28,598,2193,1129.82,2025-02-28,Accepted
29,1924,1608,2101.13,2025-02-26,Accepted
30,2750,662,2065.77,2024-07-10,Rejected
31,2284,2980,1071.80,2026-03-09,Rejected
32,2334,1908,1486.52,2025-12-31,Pending
33,3796,2150,921.89,2024-10-28,Accepted
34,2086,74,2478.36,2025-05-10,Pending
35,4216,2180,1462.25,2026-02-04,Pending
36,3434,2695,2442.86,2025-07-17,Rejected
37,1935,1495,1287.75,2026-02-07,Accepted
38,1538,1020,786.65,2025-01-03,Pending
39,4977,594,2271.43,2024-10-08,Rejected
40,3219,914,2530.29,2024-07-11,Pending
41,4653,1166,2123.45,2024-11-03,Rejected
42,2844,2118,2518.04,2025-06-24,Pending
43,1492,2968,209.57,2025-10-20,Pending
44,229,690,1505.27,2025-07-26,Rejected
45,218,2708,2020.65,2025-03-30,Rejected
46,5336,849,2536.38,2024-07-06,Pending
47,5196,1274,2413.56,2025-10-15,Rejected
48,5523,1283,2123.91,2025-04-01,Accepted
49,1627,2044,1787.50,2025-06-26,Accepted
50,4631,2476,321.04,2024-09-30,Pending
51,5853,1571,480.60,2024-07-24,Accepted
52,2942,1606,618.02,2025-08-09,Accepted
53,2056,2808,359.67,2025-02-23,Pending
54,2062,1394,1419.44,2024-08-18,Rejected
55,17,2544,1553.53,2024-09-15,Rejected
56,4952,2045,1544.96,2024-10-13,Rejected
57,3186,617,2474.27,2025-08-20,Accepted
58,5653,2646,506.84,2025-08-13,Accepted
59,4293,2416,723.31,2024-08-24,Accepted
60,4296,1226,1885.11,2025-02-01,Accepted
61,1882,1780,333.34,2025-04-06,Rejected
62,1387,757,1100.35,2025-11-14,Rejected
63,2497,61,1387.80,2024-10-31,Accepted
64,3045,2252,2467.59,2025-10-28,Pending
65,4706,1238,1669.84,2024-06-03,Accepted
66,2398,2379,1351.65,2024-10-15,Accepted
67,4152,1163,2082.91,2024-10-27,Pending
68,3382,2653,273.43,2024-06-28,Rejected
69,1050,2083,580.77,2025-05-27,Pending
70,694,2790,304.43,2026-01-10,Accepted
71,5589,1767,2576.85,2025-09-23,Pending
72,1871,592,1572.83,2025-06-13,Accepted
73,5424,2795,1324.56,2025-02-24,Pending
74,1394,2798,2500.15,2024-09-26,Accepted
75,5486,1150,1828.43,2026-02-07,Pending
76,2657,1597,1626.70,2024-08-27,Rejected
77,3859,1320,2306.15,2025-09-01,Pending
78,1677,183,1701.15,2025-05-26,Pending
79,1610,1719,519.62,2026-02-04,Rejected
80,328,2515,248.67,2024-08-22,Accepted
81,1552,146,2355.26,2025-08-13,Rejected
82,775,120,2146.31,2024-06-15,Pending
83,2114,1014,1381.05,2025-10-12,Accepted
84,5002,2151,1216.83,2024-10-03,Accepted
85,4579,1025,806.70,2025-03-02,Pending
86,4202,402,1765.91,2024-10-10,Rejected
87,4565,28,423.03,2025-08-05,Rejected
88,4034,348,1211.44,2026-01-30,Accepted
89,2933,2272,599.87,2025-11-16,Rejected
90,4685,2561,2203.00,2024-12-16,Rejected
91,2224,2243,949.10,2024-11-17,Accepted
92,5141,2191,296.13,2025-06-03,Pending
93,5575,1200,984.29,2025-04-18,Pending
94,3196,2132,2309.97,2025-01-21,Accepted
95,1922,50,776.60,2026-01-01,Rejected
96,5851,2347,397.19,2024-08-13,Rejected
97,2946,2320,1521.16,2025-08-26,Rejected
98,5568,1610,1727.80,2025-03-03,Rejected
99,1950,1892,432.54,2025-04-10,Accepted
100,545,2982,1448.07,2025-03-01,Accepted
101,3515,404,280.37,2025-05-19,Accepted
102,5646,2924,2212.49,2024-09-14,Rejected
103,1071,1859,1830.65,2025-05-11,Accepted
104,2179,2795,2263.90,2025-12-08,Rejected
105,2441,2070,1088.58,2026-02-04,Rejected
106,86,2305,1731.88,2025-01-15,Accepted
107,5991,2052,1227.39,2024-07-29,Accepted
108,715,1607,1028.90,2026-01-22,Rejected
109,989,1522,2314.23,2025-08-10,Pending
110,4655,486,633.08,2025-07-20,Accepted
111,1366,2128,2468.70,2025-12-17,Rejected
112,712,594,1036.92,2025-11-30,Rejected
113,1268,979,1965.04,2026-01-08,Accepted
114,2081,1554,1502.47,2025-08-01,Accepted
115,2683,1314,2038.46,2024-10-20,Pending
116,161,2798,941.32,2024-09-18,Pending
117,4063,1964,406.64,2024-06-02,Pending
118,900,1554,1333.38,2024-06-04,Rejected
119,170,2224,1591.29,2025-06-20,Rejected
120,3398,1560,2106.41,2025-03-17,Pending
121,5767,732,2523.26,2025-10-05,Rejected
122,4092,2564,747.09,2024-12-02,Pending
123,1003,131,773.16,2025-02-02,Rejected
124,2323,2617,1186.23,2024-12-31,Accepted
125,3804,1143,1742.28,2025-03-01,Accepted
126,4871,1873,1920.63,2025-01-04,Pending
127,746,312,2255.44,2024-12-09,Pending
128,4407,1576,1095.79,2025-01-09,Pending
129,3607,627,498.70,2024-10-16,Accepted
130,2247,924,2031.88,2025-01-01,Accepted
131,3097,1943,1308.78,2024-06-16,Accepted
132,1924,1610,1748.24,2024-10-05,Pending
133,5280,778,542.34,2025-10-25,Accepted
134,5075,637,1509.47,2024-07-08,Rejected
135,3821,2363,524.31,2024-09-10,Pending
136,157,444,1049.32,2024-09-01,Accepted
137,2047,2748,1733.39,2025-02-24,Rejected
138,4332,741,1074.62,2025-07-16,Rejected
139,1681,2948,2100.35,2025-11-13,Pending
140,4801,2329,1312.00,2025-01-31,Accepted
141,3602,2710,1859.74,2026-01-17,Accepted
142,5094,2332,2450.84,2025-10-21,Rejected
143,4751,864,1021.92,2025-02-04,Pending
144,5815,2736,344.25,2025-07-05,Accepted
145,3870,2342,954.47,2025-01-09,Rejected
146,5451,152,2505.94,2025-11-25,Rejected
147,3234,2026,581.70,2024-10-29,Accepted
148,5252,886,1224.98,2024-11-23,Pending
149,335,2850,523.28,2025-01-19,Rejected
150,2790,124,2053.60,2025-04-07,Pending
151,4083,134,1699.56,2026-03-13,Rejected
152,5193,2514,2229.50,2026-02-03,Pending
153,307,2449,2162.00,2025-02-01,Accepted
154,4535,9,107.28,2025-10-01,Rejected
155,229,1600,1382.30,2025-11-06,Accepted
156,2764,638,624.57,2026-01-13,Accepted
157,3300,1905,1535.69,2024-11-22,Pending
158,543,396,2574.17,2025-02-16,Pending
159,990,2839,230.20,2025-02-10,Accepted
160,4776,1320,859.32,2025-03-03,Accepted
161,1376,1802,1780.69,2024-07-05,Pending
162,1526,138,2222.07,2025-02-10,Pending
163,4781,2987,1687.14,2026-02-06,Rejected
164,5181,2435,1267.28,2025-01-03,Accepted
165,2826,878,376.38,2025-12-24,Accepted
166,4067,820,607.30,2024-11-16,Pending
167,2904,738,1123.07,2024-06-27,Pending
168,5369,2641,1708.78,2025-11-03,Rejected
169,1396,128,2465.42,2026-02-22,Pending
170,4165,1733,1302.68,2024-09-27,Pending
171,1356,2963,2257.80,2025-08-05,Rejected
172,3467,2463,205.90,2025-11-29,Rejected
173,5557,2584,1835.17,2025-05-01,Accepted
174,3751,653,374.75,2025-07-18,Pending
175,2902,2888,1739.24,2024-09-20,Rejected
176,1680,1190,353.78,2025-07-10,Pending
177,269,2896,1433.91,2025-11-22,Accepted
178,5468,448,1695.87,2025-03-25,Accepted
179,644,1251,2508.94,2024-11-25,Accepted
180,3100,1826,179.01,2025-02-04,Pending
181,5701,295,2047.39,2024-09-07,Accepted
182,5158,2626,823.64,2024-07-15,Accepted
183,4967,609,2388.26,2024-06-13,Accepted
184,468,337,1246.83,2024-09-09,Rejected
185,2475,87,566.94,2025-05-05,Pending
186,1362,1632,2559.29,2025-01-16,Pending
187,4664,2528,973.63,2024-07-30,Accepted
188,2226,1840,1766.86,2025-01-30,Pending
189,4661,1372,1692.03,2024-12-21,Rejected
190,3807,2056,768.41,2025-11-20,Rejected
191,909,1604,2468.44,2025-12-28,Accepted
192,2641,692,529.79,2025-09-18,Pending
193,691,2256,2225.93,2026-03-03,Rejected
194,5892,1877,2350.91,2025-11-26,Pending
195,1681,1651,2094.31,2025-11-24,Accepted
196,3331,2993,1032.35,2025-04-03,Pending
197,4012,2693,706.09,2025-05-14,Rejected
198,4807,1696,744.81,2024-08-31,Pending
199,675,1643,981.76,2025-07-14,Accepted
200,3835,724,552.26,2025-04-06,Accepted
201,2181,2929,117.51,2025-02-14,Rejected
202,1625,2806,680.94,2025-09-23,Accepted
203,3670,1839,534.74,2025-11-22,Accepted
204,4378,372,338.22,2024-11-13,Pending
205,5603,111,1942.38,2025-01-27,Rejected
206,5281,1004,2554.23,2025-10-31,Rejected
207,1644,2382,1326.51,2026-02-02,Pending
208,3352,1552,2412.54,2024-09-06,Accepted
209,3891,508,1960.84,2025-02-18,Rejected
210,2176,580,1399.05,2025-05-05,Pending
211,5277,1769,372.35,2024-10-16,Rejected
212,4907,1830,375.18,2025-03-14,Rejected
213,95,2676,1989.81,2025-06-30,Rejected
214,5023,718,401.85,2024-11-02,Accepted
215,2932,411,657.70,2025-09-25,Pending
216,3368,2937,1812.22,2025-03-13,Pending
217,1345,2835,999.12,2025-01-01,Rejected
218,775,1902,2056.37,2025-09-15,Pending
219,1042,1766,565.02,2025-04-29,Accepted
220,1424,1019,92.47,2024-08-10,Pending
221,5605,1614,1054.11,2025-03-30,Pending
222,2298,2366,2009.54,2025-03-10,Accepted
223,2132,1594,2083.71,2025-08-02,Rejected
224,4457,2460,847.14,2024-07-17,Rejected
225,328,2826,2477.44,2026-01-31,Pending
226,871,1105,694.99,2025-12-22,Rejected
227,4217,1929,1531.89,2025-12-19,Pending
228,2910,569,2133.41,2025-11-05,Accepted
229,672,2427,486.47,2024-11-27,Pending
230,995,1584,880.95,2026-01-09,Pending
231,5783,2764,289.48,2025-12-12,Rejected
232,1589,1638,873.75,2026-01-28,Pending
233,3132,392,1191.84,2024-06-30,Pending
234,5024,1518,828.57,2025-10-08,Accepted
235,875,1015,735.18,2024-08-21,Rejected
236,5809,1557,1986.09,2025-05-19,Accepted
237,4195,2743,1185.86,2026-03-08,Rejected
238,5492,234,1557.05,2024-10-13,Pending
239,2882,1130,2491.80,2025-10-08,Rejected
240,2181,2855,2519.58,2025-05-16,Pending
241,954,2263,2504.94,2024-09-05,Accepted
242,1568,2887,2172.77,2025-09-03,Rejected
243,1622,822,670.29,2026-02-08,Pending
244,1843,2566,1175.45,2025-01-06,Pending
245,656,132,1636.78,2025-08-05,Rejected
246,4281,1510,1069.81,2024-10-16,Pending
247,1293,2045,2301.55,2025-04-04,Accepted
248,2287,2413,1598.49,2025-11-24,Accepted
249,3230,256,865.03,2025-09-14,Pending
250,3175,1078,2181.03,2024-11-26,Rejected
251,3628,3,1340.52,2025-08-22,Rejected
252,3129,873,1900.41,2025-06-30,Pending
253,186,37,438.60,2024-10-20,Accepted
254,2621,2983,1188.24,2024-10-20,Rejected
255,3434,2296,351.60,2024-10-09,Accepted
256,1058,2300,1027.63,2024-10-15,Accepted
257,1521,11,985.93,2025-07-29,Accepted
258,3816,120,420.44,2026-01-03,Accepted
259,4310,2547,1194.79,2026-01-18,Rejected
260,729,2075,2546.94,2024-06-30,Rejected
261,5168,346,1075.00,2024-08-11,Accepted
262,3131,2431,1576.93,2024-09-30,Pending
263,2847,2052,316.97,2025-09-23,Rejected
264,3041,73,469.59,2025-08-02,Pending
265,2721,2041,1880.47,2025-06-21,Accepted
266,3520,632,2129.13,2025-03-19,Rejected
267,2713,270,1476.51,2024-08-18,Rejected
268,5985,1369,1752.66,2025-08-30,Pending
269,3117,2034,1696.03,2025-11-08,Rejected
270,1204,612,2487.98,2025-08-18,Pending
271,1565,2122,2399.61,2025-03-22,Rejected
272,593,1749,1508.78,2025-02-21,Accepted
273,3049,43,924.60,2024-08-18,Rejected
274,2181,1192,84.29,2025-10-16,Accepted
275,4843,531,2538.03,2025-10-25,Rejected
276,760,252,234.91,2024-06-05,Pending
277,84,2258,1970.29,2025-05-26,Accepted
278,2974,588,893.60,2025-10-29,Rejected
279,4057,1599,194.83,2026-01-29,Accepted
280,1876,662,787.94,2025-08-28,Pending
281,2584,1891,2264.83,2025-05-09,Accepted
282,21,780,1252.19,2024-09-29,Pending
283,29,2922,1351.11,2025-05-01,Accepted
284,2153,1087,161.49,2026-01-21,Accepted
285,3920,2953,1948.95,2024-10-22,Pending
286,4435,578,1088.85,2025-08-15,Rejected
287,2504,1707,1672.19,2024-09-15,Pending
288,5936,125,2468.24,2025-09-01,Rejected
289,620,2804,927.68,2024-08-29,Accepted
290,3980,96,899.80,2025-09-24,Accepted
291,1269,524,1025.01,2024-10-30,Pending
292,2845,2410,753.40,2025-10-14,Pending
293,1944,1631,1548.39,2025-03-10,Accepted
294,4623,765,2365.56,2025-05-30,Accepted
295,2298,10,2203.18,2026-03-01,Accepted
296,3665,2491,1255.98,2025-12-28,Rejected
297,734,696,2021.39,2025-02-03,Accepted
298,693,1547,2009.80,2025-07-21,Pending
299,728,553,1766.56,2024-07-24,Pending
300,3611,2421,735.82,2025-11-18,Accepted
301,4933,676,86.96,2025-01-29,Rejected
302,4541,1926,1343.29,2025-01-08,Rejected
303,4791,930,1131.90,2025-07-01,Accepted
304,3571,196,562.88,2024-06-07,Pending
305,5101,876,1353.13,2024-10-15,Accepted
306,69,2484,1846.16,2025-08-16,Rejected
307,1947,1987,2091.03,2025-08-25,Pending
308,1583,1169,486.88,2024-11-05,Pending
309,4720,2595,1915.37,2025-06-23,Rejected
310,4720,1252,1048.55,2024-07-15,Rejected
311,2019,244,1672.89,2025-11-30,Accepted
312,295,699,257.50,2025-07-12,Accepted
313,1195,2480,2526.74,2024-12-08,Accepted
314,4083,601,869.81,2026-02-01,Rejected
315,1381,2763,99.30,2025-02-19,Rejected
316,5422,2499,1430.06,2026-02-05,Pending
317,3302,2017,2255.59,2025-05-28,Accepted
318,1196,500,1296.97,2024-12-05,Rejected
319,1255,1296,1640.07,2025-02-17,Pending
320,3744,1377,2227.21,2025-12-07,Rejected
321,2418,1681,773.59,2025-12-01,Accepted
322,3492,2649,1515.85,2025-12-01,Rejected
323,4054,801,858.57,2024-07-11,Accepted
324,3819,951,1520.19,2025-05-02,Rejected
325,5584,2230,2073.89,2025-08-13,Accepted
326,3185,516,2082.65,2026-01-11,Accepted
327,735,2878,1259.36,2025-02-20,Rejected
328,5515,1454,1946.27,2026-01-19,Accepted
329,4045,2989,1400.17,2025-12-26,Pending
330,5793,1248,275.85,2024-08-02,Pending
331,4815,1584,1417.26,2025-02-01,Rejected
332,4697,1287,2137.44,2025-02-01,Pending
333,2297,1620,971.62,2025-11-15,Pending
334,2836,633,2271.72,2025-04-07,Accepted
335,3135,217,1424.32,2025-09-13,Rejected
336,5040,1980,2145.80,2025-06-03,Accepted
337,3991,2959,2363.30,2025-03-14,Rejected
338,2477,2442,1838.20,2026-03-09,Accepted
339,4055,1823,2096.34,2025-08-12,Rejected
340,15,358,1862.73,2026-01-14,Pending
341,5368,300,814.03,2024-09-09,Rejected
342,1721,2158,386.13,2025-11-29,Accepted
343,3398,1188,1752.13,2025-04-22,Pending
344,5846,298,690.74,2025-03-01,Rejected
345,2818,2825,282.23,2025-06-20,Pending
346,4711,87,2065.18,2025-12-09,Rejected
347,2496,2714,909.77,2025-07-04,Pending
348,4669,1400,831.26,2025-11-24,Rejected
349,3519,2737,2214.02,2026-01-12,Rejected
350,223,2334,2024.55,2025-07-28,Rejected
351,2597,2728,564.88,2025-08-17,Rejected
352,5161,1574,607.93,2025-08-09,Accepted
353,982,1641,2276.85,2026-01-15,Pending
354,3906,785,273.39,2025-03-22,Rejected
355,3471,522,1802.69,2025-10-11,Pending
356,1348,2461,1386.52,2025-11-03,Rejected
357,3150,1820,471.79,2024-07-12,Accepted
358,888,2871,716.03,2025-08-27,Rejected
359,4346,2549,309.96,2026-01-20,Rejected
360,1001,601,1859.03,2025-08-13,Pending
361,292,619,182.84,2024-08-08,Accepted
362,5383,917,1928.53,2024-12-27,Rejected
363,2400,2260,2287.59,2025-03-26,Pending
364,782,1657,578.56,2025-06-12,Accepted
365,3747,604,1249.77,2025-09-18,Pending
366,784,1316,2034.52,2024-08-09,Pending
367,3215,1736,1214.98,2026-02-16,Rejected
368,3313,1582,1132.04,2025-11-01,Pending
369,5273,246,265.27,2025-07-02,Accepted
370,2386,2915,605.08,2024-07-08,Pending
371,4034,597,536.79,2025-10-07,Accepted
372,3268,216,1124.28,2024-12-03,Pending
373,4315,2669,214.58,2026-03-11,Accepted
374,254,1843,171.38,2025-05-05,Accepted
375,3365,569,1250.70,2025-10-13,Pending
376,3856,1827,1489.11,2024-06-15,Accepted
377,3907,2516,2119.43,2026-01-24,Pending
378,4748,1437,378.74,2025-01-27,Rejected
379,3880,1321,1424.59,2025-06-23,Rejected
380,3402,1766,2014.20,2024-10-07,Accepted
381,5958,1319,2458.47,2024-11-11,Accepted
382,4705,2797,941.40,2025-02-21,Rejected
383,5677,1675,2206.42,2025-10-29,Accepted
384,2572,1156,1667.51,2024-10-10,Accepted
385,1503,427,975.87,2025-02-03,Rejected
386,4537,1140,2210.29,2025-01-11,Pending
387,3165,2141,2574.88,2026-03-04,Pending
388,5599,1726,1380.80,2025-12-27,Pending
389,1508,2286,2410.66,2024-09-16,Accepted
390,907,1842,2244.25,2025-10-15,Rejected
391,1480,20,1180.02,2025-06-03,Rejected
392,171,473,384.97,2026-01-07,Pending
393,1217,936,1328.96,2025-04-28,Accepted
394,325,2889,2028.62,2025-10-12,Pending
395,1566,1608,1712.85,2026-03-04,Accepted
396,4607,2029,1407.90,2024-08-09,Accepted
397,1251,2834,537.78,2025-09-12,Pending
398,3490,319,1578.51,2024-08-29,Rejected
399,4002,2104,1026.31,2024-11-05,Pending
400,3010,1788,962.15,2025-05-28,Rejected
401,4964,1518,1301.09,2025-12-09,Accepted
402,1424,1334,1274.83,2024-06-22,Pending
403,3518,2666,1419.81,2025-03-27,Pending
404,1449,2396,1186.47,2025-06-19,Rejected
405,4868,751,2064.45,2024-12-27,Pending
406,226,201,436.66,2025-08-11,Accepted
407,4208,2522,1174.17,2024-07-01,Rejected
408,3503,1377,1903.88,2024-08-22,Pending
409,2021,901,1767.86,2026-02-14,Accepted
410,5559,1692,740.54,2025-05-11,Pending
411,2470,1603,2362.70,2025-04-10,Pending
412,4920,230,1689.73,2025-12-09,Rejected
413,751,2230,2184.57,2024-10-24,Pending
414,258,1954,2005.73,2025-07-06,Accepted
415,1297,1302,2098.13,2024-09-03,Accepted
416,967,1865,165.39,2025-03-09,Rejected
417,5852,1900,935.32,2025-02-14,Accepted
418,5447,1025,1924.05,2026-02-11,Rejected
419,2676,1546,276.24,2025-08-07,Rejected
420,59,1992,2391.53,2025-12-23,Pending
421,3235,1907,1614.50,2025-03-09,Accepted
422,4029,2532,1128.75,2025-04-23,Pending
423,4579,1794,263.26,2025-07-22,Rejected
424,1713,901,158.24,2024-06-11,Pending
425,5458,1316,1524.90,2024-12-12,Accepted
426,1997,1509,1998.88,2026-02-02,Rejected
427,2309,905,1856.31,2024-11-30,Pending
428,2800,712,2233.25,2025-04-02,Rejected
429,2803,2757,340.93,2025-11-16,Pending
430,559,1790,962.00,2024-07-28,Pending
431,4377,545,1071.74,2026-02-23,Rejected
432,3262,2836,476.90,2024-08-11,Pending
433,2298,2354,1144.71,2026-01-07,Accepted
434,1484,2984,1509.13,2025-06-05,Pending
435,1729,1349,2069.24,2025-12-04,Rejected
436,4687,1860,106.47,2025-11-26,Rejected
437,4120,665,943.92,2025-12-23,Accepted
438,3427,1188,1268.99,2025-09-12,Accepted
439,1953,2796,2475.86,2025-09-30,Rejected
440,158,863,681.38,2024-11-10,Rejected
441,4952,353,1381.09,2024-12-24,Pending
