freelancer_id,country,region,primary_skill_category,experience_level,hourly_rate,join_date,subscription_type,rating,total_projects_completed
1,India,Europe,Web Development,Intermediate,66.30,2025-04-17,Free,3.2,21
2,India,South America,Marketing,Intermediate,49.17,2023-08-06,Pro,3.7,28
3,India,Asia,Cloud,Beginner,89.26,2024-09-02,Elite,4.5,41
4,Germany,Europe,Web Development,Expert,64.69,2025-02-24,Elite,4.3,15
5,Singapore,North America,UI/UX,Expert,98.02,2024-05-13,Free,4.7,36
6,India,Asia,Cloud,Expert,73.20,2025-04-24,Free,4.1,15
7,Germany,North America,Web Development,Intermediate,48.79,2024-06-03,Pro,4.2,4
8,India,South America,UI/UX,Intermediate,76.14,2024-12-22,Pro,3.6,8
9,Germany,North America,Data & AI,Beginner,89.48,2024-01-17,Pro,4.9,40
10,Singapore,South America,Marketing,Beginner,92.60,2025-06-17,Pro,4.7,47
11,Brazil,North America,Data & AI,Expert,95.80,2024-10-01,Elite,3.4,28
12,Brazil,Europe,Marketing,Beginner,22.67,2025-12-10,Free,4.4,30
13,India,Europe,Web Development,Expert,44.74,2025-06-16,Free,3.1,44
14,Singapore,North America,Cloud,Expert,93.06,2026-03-11,Elite,4.1,35
15,USA,South America,Marketing,Intermediate,63.58,2024-12-20,Pro,4.5,4
16,Singapore,Europe,Content,Beginner,71.06,2024-07-20,Elite,4.8,41
17,India,North America,Content,Intermediate,49.51,2025-04-12,Elite,3.9,31
18,Germany,North America,Marketing,Beginner,58.89,2024-03-22,Elite,3.7,6
19,Canada,Europe,Cloud,Beginner,71.97,2024-09-18,Pro,4.1,22
20,Germany,South America,Content,Expert,78.77,2023-08-16,Pro,4.3,16
21,UK,South America,Cloud,Expert,99.23,2025-01-15,Pro,4.4,6
22,Australia,Asia,Web Development,Beginner,36.26,2025-03-21,Elite,3.0,19
23,Germany,North America,Content,Beginner,91.13,2025-01-19,Elite,4.7,48
24,India,Europe,Cloud,Intermediate,66.67,2024-06-30,Free,4.6,38
25,USA,Asia,Web Development,Expert,85.21,2024-05-11,Elite,3.6,5
26,Brazil,South America,Data & AI,Expert,32.44,2025-10-02,Free,3.5,11
27,UK,South America,Marketing,Beginner,31.39,2025-04-28,Elite,4.6,44
28,UK,South America,Marketing,Expert,83.33,2024-10-12,Pro,3.2,48
29,Australia,Europe,Web Development,Beginner,89.75,2025-07-14,Free,3.8,46
30,Brazil,Europe,Marketing,Beginner,22.54,2024-10-16,Pro,4.1,34
31,Singapore,South America,UI/UX,Expert,91.37,2025-06-07,Free,4.1,20
32,Canada,Asia,UI/UX,Intermediate,85.82,2025-12-21,Free,4.7,15
33,Singapore,Europe,Data & AI,Expert,36.19,2024-12-23,Free,4.3,27
34,Canada,South America,Data & AI,Expert,30.70,2023-07-04,Free,3.2,14
35,Brazil,Europe,Web Development,Intermediate,76.50,2025-10-02,Pro,4.8,43
36,Brazil,Asia,UI/UX,Expert,21.26,2024-08-16,Elite,3.4,50
37,Singapore,Asia,Cloud,Expert,55.68,2025-05-13,Pro,3.5,25
38,Canada,North America,Web Development,Beginner,77.73,2025-04-26,Free,4.1,40
39,Canada,North America,Cloud,Expert,62.29,2024-09-27,Elite,4.4,49
40,UK,South America,Web Development,Expert,92.77,2023-10-18,Elite,4.2,41
41,Brazil,South America,Data & AI,Expert,87.49,2024-05-16,Elite,3.0,44
