project_id,client_id,skill_category,project_budget,project_post_date,project_status,num_bids,assigned_freelancer_id,completion_date
1,1146,Content,1711.65,2025-02-24,Cancelled,3,778,2026-02-19
2,752,UI/UX,1341.10,2025-08-30,Cancelled,13,1916,2025-09-06
3,397,UI/UX,768.39,2025-05-13,Cancelled,6,925,2026-01-04
4,826,Marketing,3045.17,2025-12-11,Completed,3,1467,2024-12-28
5,997,Data & AI,329.05,2025-01-21,Completed,8,203,2025-01-17
6,1070,Content,320.70,2025-01-09,Cancelled,7,1910,2025-02-06
7,1047,UI/UX,205.14,2024-05-18,Completed,10,1907,2025-01-25
8,652,Cloud,2174.50,2024-05-27,Completed,1,1003,2025-10-16
9,1125,UI/UX,2759.80,2024-08-21,Cancelled,4,1869,2025-11-22
10,637,Data & AI,365.43,2026-02-22,Cancelled,10,1731,2026-02-07
11,1004,Web Development,2842.56,2025-09-29,Open,2,1830,2025-11-21
12,807,UI/UX,651.99,2025-11-03,Completed,4,670,2025-10-12
13,150,UI/UX,2566.19,2025-07-05,Open,2,1100,2025-10-02
14,847,UI/UX,2208.27,2025-08-01,Cancelled,13,668,2025-02-24
15,323,Web Development,3071.62,2024-09-21,Open,11,2559,2026-01-28
16,976,Marketing,388.19,2025-08-16,Completed,13,2525,2025-03-12
17,837,Cloud,3091.34,2024-12-07,Cancelled,2,1606,2024-12-14
18,337,UI/UX,932.09,2025-01-16,Cancelled,2,770,2024-07-25
19,332,Web Development,345.00,2026-03-02,Open,6,2202,2024-07-22
20,462,Web Development,1849.74,2024-10-25,Cancelled,5,2485,2025-12-07
21,364,Web Development,1558.35,2024-06-01,Cancelled,14,47,2025-11-21
22,673,Web Development,728.08,2026-02-26,Completed,14,2713,2025-12-11
23,611,Marketing,2000.32,2024-07-13,Open,4,2439,2025-09-21
24,455,Data & AI,2685.13,2024-06-01,Cancelled,15,947,2025-05-29
25,243,UI/UX,2791.39,2025-09-02,Open,15,2033,2024-07-31
26,1006,Cloud,2357.30,2024-12-22,Open,8,526,2026-01-28
27,815,Content,201.70,2024-07-26,Open,11,126,2024-12-02
28,1004,Content,1593.90,2025-02-03,Cancelled,11,174,2025-11-10
29,1074,Web Development,653.36,2024-10-23,Cancelled,4,2508,2025-01-06
30,810,Cloud,912.89,2025-02-15,Open,14,379,2025-05-13
31,1045,Marketing,702.81,2026-02-28,Completed,15,38,2025-04-16
32,52,UI/UX,229.74,2025-03-26,Completed,11,1304,2024-07-25
33,783,Cloud,882.83,2024-08-06,Completed,9,1688,2026-02-20
34,465,Content,2098.59,2025-10-23,Open,5,1124,2024-10-15
35,826,Cloud,2124.08,2024-12-02,Completed,11,399,2025-09-11
36,560,Content,629.52,2025-12-31,Cancelled,7,2742,2026-03-10
37,1057,Web Development,808.23,2025-03-23,Open,1,2999,2025-03-10
38,721,Web Development,1013.14,2024-08-04,Open,12,2791,2025-07-10
39,1168,Web Development,2139.88,2025-02-20,Open,6,2486,2025-08-12
40,254,Marketing,218.01,2024-12-08,Completed,5,1027,2026-02-11
41,905,Data & AI,2499.86,2025-07-15,Open,13,2582,2025-09-05
42,980,UI/UX,1656.06,2024-07-12,Cancelled,4,1815,2024-12-10
43,41,Content,648.78,2026-02-01,Open,10,2516,2025-06-26
44,98,Content,3040.34,2025-02-21,Completed,7,2838,2025-03-30
45,1054,Marketing,1325.34,2024-07-01,Completed,14,2787,2025-02-23
46,316,Cloud,2031.32,2025-12-14,Completed,3,158,2025-08-19
47,885,Marketing,2005.84,2025-01-31,Completed,12,2737,2025-01-12
48,939,Marketing,1240.55,2025-04-30,Open,8,1735,2025-10-04
49,12,Marketing,1902.47,2024-11-24,Open,11,1203,2026-02-27
50,106,Cloud,318.02,2025-02-10,Completed,9,161,2025-02-20
51,754,Data & AI,787.43,2025-09-29,Open,3,689,2024-10-28
52,1065,UI/UX,400.81,2024-07-16,Completed,10,2153,2025-07-16
53,159,Cloud,1683.86,2025-06-17,Cancelled,1,565,2025-10-09
54,572,Marketing,728.04,2025-04-20,Completed,6,2132,2026-01-03
55,504,Content,1165.34,2026-02-22,Completed,4,2784,2025-03-22
56,740,Data & AI,1603.01,2024-12-05,Completed,7,1290,2025-09-11
57,291,Content,205.95,2025-02-14,Completed,2,1165,2025-10-11
58,1155,Cloud,246.45,2024-12-18,Completed,2,1712,2025-06-15
59,778,Marketing,1282.42,2024-06-04,Cancelled,3,630,2025-11-12
60,51,Marketing,1759.09,2025-10-26,Completed,11,968,2024-09-08
61,1011,Cloud,1299.37,2025-01-23,Cancelled,9,2322,2024-08-07
62,1072,Content,2877.90,2026-01-06,Cancelled,10,2059,2025-02-25
63,822,Content,618.71,2025-05-29,Cancelled,3,746,2025-11-13
64,52,Marketing,844.14,2025-06-22,Completed,9,1456,2025-09-12
65,792,Marketing,467.50,2024-11-20,Open,8,394,2025-11-18
66,460,Web Development,2453.87,2025-08-11,Cancelled,9,2318,2025-01-05
67,34,Marketing,2756.40,2025-10-23,Cancelled,8,2602,2025-05-26
68,805,Content,440.36,2026-02-06,Cancelled,14,1157,2024-12-22
69,154,UI/UX,959.94,2024-12-17,Open,9,2270,2024-08-29
70,1115,Cloud,2486.44,2024-06-08,Completed,1,885,2025-04-02
71,1138,Content,2657.60,2025-03-22,Completed,6,1031,2025-06-27
72,984,Cloud,2136.47,2024-05-06,Completed,7,2364,2026-01-03
73,600,Web Development,439.53,2026-01-01,Open,8,1300,2025-08-08
74,373,Data & AI,1053.63,2024-05-27,Open,5,2248,2025-03-09
75,904,Cloud,1214.56,2024-09-08,Completed,11,2238,2024-08-19
76,803,Data & AI,389.28,2026-03-08,Cancelled,2,1399,2024-09-01
77,248,UI/UX,969.20,2024-11-24,Completed,6,1519,2024-08-13
78,1190,Content,1156.90,2024-05-04,Open,1,1709,2024-11-13
79,918,Content,128.24,2025-02-09,Open,4,2711,2025-06-16
80,579,Web Development,1632.57,2025-01-22,Completed,10,1912,2026-01-19
81,573,Content,949.13,2024-12-19,Completed,3,487,2025-06-02
82,35,UI/UX,1701.81,2024-08-24,Completed,14,2170,2025-05-14
83,1058,Web Development,1173.48,2025-10-15,Cancelled,9,2621,2025-12-06
