transaction_id,project_id,freelancer_id,client_id,project_value,platform_commission,transaction_date,payment_status
1,761,2276,1169,2229.70,114.58,2024-12-17,Paid
2,2538,1191,760,2149.14,130.67,2025-07-17,Paid
3,2289,1928,21,962.73,299.09,2025-02-15,Paid
4,4238,2596,560,1228.72,140.60,2025-06-29,Paid
5,3209,2427,1171,2377.57,306.57,2025-05-03,Pending
6,1075,2963,241,2636.90,148.31,2024-10-30,Pending
7,5543,652,901,1073.48,22.66,2025-10-08,Paid
8,2111,1120,695,2167.27,201.52,2026-02-10,Pending
9,2793,43,636,1146.58,286.82,2026-02-27,Pending
10,4782,2271,981,2987.23,100.70,2026-01-30,Paid
11,4284,2918,900,736.64,285.48,2025-10-21,Paid
12,5998,2998,128,1645.53,202.10,2025-08-31,Paid
13,1448,2628,1065,352.14,227.46,2024-10-08,Pending
14,2586,2630,1103,2111.23,97.52,2024-10-28,Paid
15,1870,1872,1193,225.83,36.88,2024-08-16,Pending
16,3130,2998,1111,226.34,169.73,2025-02-26,Paid
17,2763,1093,566,663.32,285.03,2025-06-22,Paid
18,3467,2446,24,1043.26,260.26,2025-05-12,Pending
19,4551,1768,107,1040.92,299.08,2025-12-17,Paid
20,2913,2240,354,1216.54,57.45,2025-03-30,Paid
21,4673,542,1061,1578.93,184.86,2025-02-09,Paid
22,5910,1849,163,112.15,239.99,2025-10-27,Paid
23,3754,407,875,854.81,180.37,2025-08-16,Pending
24,5304,578,405,480.56,151.93,2025-06-07,Paid
25,1536,903,796,2265.89,94.14,2025-06-01,Pending
26,711,1936,584,1631.64,25.57,2024-08-04,Paid
27,3807,54,390,1864.81,140.59,2025-02-20,Paid
28,5381,651,238,3050.58,202.00,2025-09-24,Paid
29,3692,1985,928,3024.85,106.35,2026-02-23,Pending
30,3051,2709,99,416.92,137.71,2025-03-01,Paid
31,697,2777,26,1112.16,287.66,2025-11-19,Pending
32,497,1659,759,628.12,273.46,2026-02-04,Pending
33,5316,1042,743,802.03,79.26,2026-01-18,Paid
34,1892,331,957,1285.20,164.20,2025-03-04,Paid
35,5292,2698,787,421.19,144.74,2025-11-13,Paid
36,4460,477,211,1733.44,84.55,2024-09-06,Pending
37,3208,1083,958,477.81,281.71,2026-03-12,Paid
38,2890,1073,497,2963.15,217.15,2026-02-05,Paid
39,2449,69,358,3089.74,191.58,2025-10-01,Pending
40,4781,1933,810,2366.06,173.83,2026-02-06,Paid
41,5582,498,53,1395.68,85.75,2025-06-02,Paid
42,5467,1083,98,2836.21,304.11,2025-12-24,Pending
43,262,1558,255,2850.70,61.29,2024-12-30,Pending
44,1465,2560,136,2311.92,286.66,2025-11-24,Pending
45,2309,147,527,2007.28,130.86,2025-09-22,Pending
46,1371,2557,1015,987.64,199.64,2025-08-27,Paid
47,1196,291,621,2200.37,25.89,2025-08-12,Pending
48,3706,2333,170,207.04,149.47,2026-01-14,Paid
49,1654,1472,1006,1878.67,130.81,2024-07-24,Pending
50,1564,2977,416,3057.45,154.02,2025-05-11,Paid
51,3373,2926,1003,835.09,135.57,2025-06-22,Paid
52,2508,1684,1098,2123.57,178.78,2025-07-13,Pending
53,5200,1469,961,1679.87,217.13,2025-05-26,Paid
54,3605,1769,303,2254.44,217.14,2025-12-12,Paid
55,5292,2982,422,576.44,269.36,2024-11-25,Pending
56,2236,2202,1136,1309.15,263.39,2024-10-29,Paid
57,5049,1456,289,1558.73,95.06,2026-01-13,Paid
58,4618,1716,493,1800.73,82.45,2026-02-10,Pending
59,3401,1693,688,1117.14,101.06,2024-09-01,Pending
60,4390,1223,776,1744.99,205.65,2025-08-25,Paid
61,5162,288,444,2634.63,132.89,2025-02-01,Pending
62,5132,1825,978,1288.05,115.81,2025-07-12,Paid
63,5966,443,1193,869.66,56.91,2026-02-07,Pending
64,5265,2502,107,756.94,177.87,2025-04-14,Pending
65,3092,1499,986,1677.96,224.35,2025-10-10,Pending
66,937,699,497,1163.88,42.35,2026-01-06,Pending
67,1304,144,439,814.36,235.42,2025-03-07,Paid
68,4016,2951,763,1243.65,39.70,2025-08-17,Paid
69,1845,2638,756,2343.73,32.94,2024-10-30,Pending
70,5461,1490,1100,2735.91,31.88,2025-03-08,Pending
71,4883,1404,1003,1413.21,70.22,2024-12-10,Pending
72,2452,693,1159,2705.00,296.69,2024-10-15,Pending
73,547,439,1078,227.16,165.44,2025-03-01,Paid
74,1672,2206,27,2671.27,148.50,2026-02-07,Pending
75,3182,192,260,2586.99,212.69,2026-01-21,Paid
76,1396,1173,423,2839.59,118.87,2026-02-23,Pending
77,5480,399,724,524.61,128.61,2025-05-22,Pending
78,3045,977,346,1994.62,162.90,2026-02-05,Pending
79,359,2811,1080,1719.51,45.42,2025-02-09,Paid
80,522,2647,221,2668.81,163.41,2025-10-19,Paid
81,2361,790,762,668.66,237.89,2025-07-10,Pending
82,61,191,220,522.98,225.11,2025-08-27,Pending
83,125,1959,559,2296.46,54.60,2025-01-20,Pending
84,1932,2423,631,3058.21,313.01,2025-01-01,Pending
85,183,1627,742,1099.97,105.03,2025-03-07,Paid
86,3478,1671,282,1126.08,203.40,2025-07-23,Pending
87,975,1527,350,796.89,301.49,2024-09-19,Paid
88,2573,275,527,2957.06,151.09,2025-02-12,Pending
89,3615,2522,90,459.52,152.11,2024-12-15,Pending
90,4763,2157,607,1764.04,295.58,2024-11-17,Paid
91,1294,1950,452,839.60,164.42,2025-08-28,Paid
92,1744,1107,253,1067.37,310.97,2025-06-13,Pending
93,2871,39,476,541.82,304.27,2025-11-08,Pending
94,5819,1121,318,2941.58,194.85,2025-07-27,Paid
95,2104,1440,447,1049.00,114.49,2024-09-30,Pending
96,2702,1018,256,1494.81,224.54,2025-11-21,Pending
97,719,2270,1153,1230.96,110.68,2025-05-21,Paid
98,5767,2620,48,2422.90,68.69,2026-01-03,Pending
99,4628,652,1092,1172.51,121.18,2024-11-23,Pending
100,3192,2590,230,1877.00,248.60,2025-08-12,Paid
101,2917,2122,82,2693.90,66.62,2024-10-10,Paid
102,2048,2018,1117,2425.24,200.92,2025-05-30,Pending
103,2055,2116,750,2871.55,313.12,2024-12-10,Pending
104,246,2571,1070,2612.17,60.92,2024-10-18,Pending
105,1230,2979,1023,2487.09,140.38,2025-10-01,Paid
106,2551,715,1141,1729.89,76.96,2024-10-11,Paid
107,5019,552,687,2427.60,205.55,2025-06-26,Paid
1821,5472,169,995,1582.82,60.00,2025-02-26,Paid
108,2993,769,582,1048.83,182.21,2024-12-14,Paid
109,260,1642,994,1569.56,303.01,2025-03-01,Pending
110,4858,2130,682,2146.18,215.94,2025-11-30,Paid
111,1623,646,878,1308.89,248.31,2025-01-18,Pending
112,2810,298,692,893.88,35.64,2024-12-09,Pending
113,497,2297,572,2839.40,242.56,2025-05-08,Pending
114,2238,1793,1042,742.71,106.91,2024-10-02,Pending
115,4019,715,732,169.30,194.62,2025-06-25,Paid
116,5324,2736,1025,1503.13,304.35,2025-03-10,Pending
117,2369,373,738,1057.78,179.26,2025-09-05,Paid
118,2325,1497,1190,1264.78,107.77,2024-12-01,Paid
119,371,175,533,2541.97,185.95,2025-04-30,Pending
120,791,423,143,2524.42,258.29,2026-02-09,Paid
121,3562,248,233,2111.11,179.26,2025-03-31,Pending
122,2167,421,55,2673.83,267.75,2024-12-31,Pending
123,693,885,246,1976.94,305.17,2024-10-27,Paid
124,4098,1361,767,638.93,108.57,2025-08-06,Pending
